id,question,tags
928,"What plant is rum made from ?
","entity (plant)"
929,"What country are Godiva chocolates from ?
","location (country)"
930,"Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?
","human (individual)"
931,"Which condiment was once sold as a patent medicine ?
","entity (food)"
932,"What U.S. state records the least rainfall ?
","location (state)"
933,"Why did the world enter a global depression in 1929 ?
","description (reason)"
934,"What was archy , and mehitabel ?
","description (definition)"
935,"What Texas city got its name from the Spanish for `` yellow '' ?
","location (city)"
936,"What are the chemicals used in glowsticks ?
","entity (substance)"
937,"What country did the Nile River originate in ?
","location (country)"
938,"What color are tennis balls ?
","entity (color)"
939,"What barroom judge called himself The Law West of the Pecos ?
","human (individual)"
940,"What excuse did the NATO people give for hitting the Chinese embassy ?
","description (description)"
941,"Who was President of Costa Rica in 1994 ?
","human (individual)"
942,"What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?
","entity (sport)"
943,"What country has the best defensive position in the board game Diplomacy ?
","location (country)"
944,"What two countries share the Khyber Pass ?
","location (country)"
945,"Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?
","human (individual)"
946,"What is the origin of the surname of Braun ?
","description (description)"
947,"What card game has variations called Canfield , Klondike and Spider ?
","entity (sport)"
948,"What is Australia Day ?
","description (definition)"
949,"What mammal of North America is the world 's longest-lived for its size ?
","entity (animal)"
950,"What was the Chivington Massacre ?
","description (definition)"
951,"What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?
","human (individual)"
952,"How many home runs did Lou Gehrig have during his career ?
","numeric (count)"
953,"In what city is the headquarters of Sinn Fein ?
","location (city)"
954,"Where can I find information on George Bush ?
","location (other)"
955,"Who is the voice of Miss Piggy ?
","human (individual)"
956,"What is the dialogue circle in cartoons called ?
","entity (term)"
957,"What does the word camaro mean , from the GM car the Camaro ?
","description (definition)"
958,"Who replaced Bert Parks as the host of The Miss America Pageant ?
","human (individual)"
959,"How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?
","numeric (count)"
960,"What is the AIM-54C Phoenix ?
","description (definition)"
961,"When are sheep shorn ?
","numeric (date)"
962,"What sport is Chris Jogis a top player of ?
","entity (sport)"
963,"What 's the second-largest island in the world ?
","location (other)"
964,"What is the definition of low island ?
","description (definition)"
965,"What century does Captain Video live in ?
","numeric (date)"
966,"What types of water pollution are there ?
","entity (other)"
967,"How many astronauts manned each Project Mercury flight ?
","numeric (count)"
968,"What soft drink would provide me with the biggest intake of caffeine ?
","entity (food)"
969,"What 's the name of a golf course in Myrtle Beach ?
","entity (other)"
970,"What are some of the significant historical events of the 1990s ?
","entity (event)"
971,"Name the only extant trilogy of classical Greek plays .
","entity (creative)"
972,"Where is Logan Airport ?
","location (other)"
973,"What is the difference between Neoclassical art and Romanticism art ?
","description (description)"
974,"Who was the first person inducted into the U.S. Swimming Hall of Fame ?
","human (individual)"
975,"What golfer has been called Ohio Fats and Blobbo ?
","human (individual)"
976,"Who murdered Leno and Rosemary LaBianca on August 1
","human (individual)"
977,"What is the average cost for four years of medical school ?
","numeric (money)"
978,"What does God create in the first sentence of the Bible ?
","entity (other)"
979,"Which of the following men was not married to Rita Hayworth ?
","human (individual)"
980,"What is the current ticket fare from from Cairo to Barbados ?
","numeric (money)"
981,"What does NN O `` mean when used as a prefix in Irish surnames ?
","abbreviation (expression)"
982,"How do you find oxidation numbers ?
","description (manner)"
983,"What is the state nickname of Mississippi ?
","location (state)"
984,"What is Black Hills , South Dakota most famous for ?
","description (reason)"
985,"What 1966 boob tube bomb took astronauts back to prehistoric times ?
","entity (creative)"
986,"How many students attend the University of Massachusetts ?
","numeric (count)"
987,"Who said , `` I shall return . '' during World War Two ?
","human (individual)"
988,"What holidays are celebrated in Ireland ?
","entity (event)"
989,"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?
","human (individual)"
990,"What are the Greek numerals ?
","description (definition)"
991,"What 's the name of the temple that is located near the capital city of Laos ?
","location (other)"
992,"What is a fear of sleep ?
","entity (medicine)"
993,"What auto race was Wilbur Reed the first to win three times ?
","entity (sport)"
994,"What are the most common breeding birds in the U.S. ?
","entity (animal)"
995,"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?
","entity (event)"
996,"How do you look up criminal records on the Internet ?
","description (manner)"
997,"Where is the actress , Marion Davies , buried ?
","location (other)"
998,"What is an example of an actual case of using the Fourteenth Amendment ?
","description (description)"
999,"Who was the Charlie perfume woman ?
","human (individual)"
1000,"Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?
","human (individual)"
